product_id,timestamp_ms,open,high,low,close,volume
BTC/USD,1724716860000,62851.1,62854.1,62851.0,62851.0,1.8260002400000002
BTC/USD,1724716920000,62850.0,62850.0,62829.0,62841.2,2.6770763800000013
BTC/USD,1724716980000,62829.2,62830.3,62763.6,62776.2,21.825566289999994
BTC/USD,1724717040000,62776.2,62851.0,62763.4,62851.0,1.4926276899999995
BTC/USD,1724717100000,62851.0,62851.0,62850.9,62850.9,0.66005571
BTC/USD,1724717160000,62836.7,62836.7,62836.7,62836.7,0.00787591
BTC/USD,1724717220000,62836.8,62869.9,62836.8,62869.9,0.45388346000000007
BTC/USD,1724717280000,62869.8,62869.8,62867.6,62867.6,6.81224744
BTC/USD,1724717340000,62861.4,62861.4,62847.7,62847.9,0.29949094
BTC/USD,1724717400000,62847.8,62847.9,62847.8,62847.9,0.00679138
BTC/USD,1724717460000,62861.4,62867.6,62861.4,62867.6,0.03490204
BTC/USD,1724717520000,62867.5,62926.0,62867.5,62922.1,8.31258724
BTC/USD,1724717580000,62911.3,62912.4,62892.0,62892.0,2.5822308100000004
BTC/USD,1724717640000,62892.0,62892.1,62849.5,62849.6,0.7269518599999997
BTC/USD,1724717700000,62849.6,62903.5,62849.6,62849.8,0.0759195
BTC/USD,1724717760000,62849.7,62865.7,62849.7,62865.6,0.06662719000000002
BTC/USD,1724717820000,62865.6,62865.7,62865.6,62865.6,0.015741659999999998
BTC/USD,1724717880000,62865.6,62865.7,62849.8,62849.8,0.027032379999999998
BTC/USD,1724717940000,62849.8,62886.7,62849.8,62886.7,2.089999999999999
BTC/USD,1724718000000,62886.7,62947.6,62886.7,62947.6,0.29008638000000003
BTC/USD,1724718060000,62947.7,62960.4,62947.7,62960.4,23.85352198999999
BTC/USD,1724718120000,62960.3,62960.4,62960.3,62960.4,0.01783483
BTC/USD,1724718180000,62960.4,62960.4,62960.3,62960.4,0.1082853
BTC/USD,1724718240000,62960.4,62960.4,62960.3,62960.4,0.03610646000000001
BTC/USD,1724718300000,62960.4,62960.4,62952.1,62953.9,0.15021967999999997
BTC/USD,1724718360000,62952.0,62960.4,62952.0,62960.4,6.0939489
BTC/USD,1724718420000,62960.4,62974.2,62960.4,62974.2,19.71388264999999
BTC/USD,1724718480000,62974.2,62974.2,62974.1,62974.1,0.005534539999999999
